trip_id,trip_date,pickup_hour,vehicle_type,zone,trip_distance_km,trip_duration_min,passenger_count,base_fare,tip_amount,total_fare,payment_type,weather,traffic_level,delay_minutes,is_delayed
TRIP-00001,2024-07-03,14,Metro,Downtown,13.76,50.5,5,11.73,2.88,14.61,Card,Clear,Medium,0.0,0
TRIP-00002,2024-12-24,13,Bus,Suburb,31.75,120.0,14,30.79,1.02,31.81,Card,Clear,High,12.9,1
TRIP-00003,2024-11-18,13,RideShare,Industrial,9.19,23.3,2,28.8,3.47,32.27,Card,Clear,Low,2.0,0
TRIP-00004,2024-04-03,12,Metro,Downtown,7.53,26.2,2,7.41,1.58,8.99,Cash,Fog,Low,9.6,1
TRIP-00005,2024-08-04,2,Taxi,Downtown,3.71,16.7,3,17.01,0.13,17.14,Card,Clear,Medium,1.4,0
TRIP-00006,2024-11-16,8,RideShare,Airport,9.08,24.5,2,42.88,1.03,43.91,Cash,Clear,Medium,3.7,0
TRIP-00007,2024-09-07,7,Metro,Industrial,17.89,68.6,4,15.42,0.15,15.57,Card,Clear,Medium,3.9,0
TRIP-00008,2024-02-09,8,Metro,Suburb,13.36,63.6,4,11.57,1.47,13.04,Mobile,Heat,Medium,5.5,1
TRIP-00009,2024-10-14,4,Taxi,Industrial,4.91,31.7,1,16.31,0.81,17.12,Cash,Clear,High,1.6,0
TRIP-00010,2024-06-02,3,Bus,Airport,5.41,20.8,30,8.21,1.15,9.36,Card,Clear,Low,0.0,0
TRIP-00011,2024-08-28,18,Bus,Downtown,13.29,31.7,11,15.61,4.32,19.93,Card,Clear,Medium,3.3,0
TRIP-00012,2024-07-08,8,RideShare,Suburb,3.11,15.4,1,9.24,2.79,12.03,Card,Clear,High,4.1,0
TRIP-00013,2024-12-13,0,Metro,Downtown,10.4,49.8,5,10.51,1.92,12.43,Cash,Fog,Medium,7.5,1
TRIP-00014,2024-02-25,18,RideShare,Industrial,4.79,17.2,3,17.18,1.38,18.57,Cash,Fog,Medium,11.9,1
TRIP-00015,2024-05-02,8,Bus,Downtown,11.98,42.7,14,13.19,1.73,14.93,Mobile,Clear,Low,0.3,0
TRIP-00016,2024-08-10,13,Taxi,Downtown,9.74,42.0,3,45.84,0.21,46.06,Cash,Heat,Low,0.1,0
TRIP-00017,2024-04-21,21,Bus,Suburb,16.34,63.4,42,17.46,3.54,21.0,Card,Clear,Medium,2.2,0
TRIP-00018,2024-06-26,11,Taxi,Suburb,10.95,40.0,2,42.12,1.46,43.57,Mobile,Heat,Medium,3.3,0
TRIP-00019,2024-10-20,23,RideShare,Suburb,12.24,51.1,3,41.01,2.95,43.96,Card,Clear,Medium,3.4,0
TRIP-00020,2024-12-29,19,Metro,Airport,14.38,42.7,2,17.37,3.13,20.5,Card,Clear,Medium,6.7,1
TRIP-00021,2024-11-20,14,Metro,Coastal,10.3,57.5,3,10.47,0.24,10.71,Cash,Heat,High,2.3,0
TRIP-00022,2024-03-29,15,Bus,Industrial,17.19,85.7,31,16.26,0.27,16.53,Card,Heat,High,1.0,0
TRIP-00023,2024-10-11,13,RideShare,Coastal,11.22,45.9,1,40.49,1.3,41.79,Card,Fog,Low,3.7,0
TRIP-00024,2024-12-12,10,RideShare,Suburb,8.43,30.3,1,25.74,0.89,26.63,Mobile,Rain,Low,8.2,1
TRIP-00025,2024-09-12,22,Metro,Suburb,16.56,88.0,5,15.0,4.48,19.48,Card,Fog,High,13.2,1
TRIP-00026,2024-05-22,3,Taxi,Suburb,9.08,24.4,1,33.63,1.91,35.54,Cash,Rain,Medium,2.7,0
TRIP-00027,2024-06-01,23,Bus,Airport,18.71,71.4,26,27.3,3.32,30.62,Mobile,Clear,Medium,0.3,0
TRIP-00028,2024-12-10,23,Taxi,Airport,7.29,31.1,3,42.46,0.5,42.97,Cash,Clear,Low,1.0,0
TRIP-00029,2024-06-14,6,Taxi,Suburb,8.87,31.8,3,33.33,0.4,33.73,Mobile,Rain,Medium,6.9,1
TRIP-00030,2024-07-14,5,Metro,Downtown,15.77,62.4,4,16.68,1.43,18.1,Card,Rain,Low,5.1,1
TRIP-00031,2024-11-25,7,Metro,Downtown,11.52,44.4,1,11.24,2.02,13.27,Card,Heat,Low,0.3,0
TRIP-00032,2024-06-18,17,RideShare,Coastal,9.05,34.1,1,32.67,2.49,35.15,Mobile,Clear,Medium,0.6,0
TRIP-00033,2024-07-19,19,Taxi,Downtown,9.6,58.8,1,45.85,4.41,50.27,Card,Clear,High,7.5,1
TRIP-00034,2024-01-21,0,Bus,Suburb,18.99,79.0,39,17.57,0.25,17.82,Cash,Clear,Low,3.2,0
TRIP-00035,2024-04-18,23,Bus,Suburb,17.26,92.5,21,18.98,2.38,21.36,Mobile,Fog,Medium,10.2,1
TRIP-00036,2024-09-23,18,Taxi,Downtown,7.92,26.1,1,37.45,3.11,40.56,Mobile,Clear,Medium,10.3,1
TRIP-00037,2024-10-26,2,Taxi,Coastal,13.84,37.3,1,60.24,1.21,61.46,Mobile,Heat,Medium,4.8,0
TRIP-00038,2024-02-29,17,Bus,Downtown,13.84,44.8,21,17.63,0.49,18.12,Card,Clear,Medium,1.9,0
TRIP-00039,2024-11-24,5,Taxi,Coastal,12.85,41.2,2,55.97,2.86,58.82,Card,Clear,Low,5.1,1
TRIP-00040,2024-10-01,15,Metro,Industrial,9.85,27.3,3,6.39,1.19,7.58,Card,Fog,Medium,6.0,1
